ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
522;Landry Shamet;TRUE;Lac;G;22.08;25;27.8;39;0.795;59;32.20%;151;45.00%;57.60%;60.10%;77;195.58
523;Iman Shumpert;TRUE;Sac;G;28.79;42;26.2;41;0.829;146;40.40%;202;36.60%;48.90%;51.10%;77;195.58
524;Iman Shumpert;TRUE;Hou;G;28.79;20;19.1;4;0.5;27;48.10%;71;29.60%;45.40%;45.60%;77;195.58
525;Pascal Siakam;FALSE;Tor;F;25.03;80;31.8;302;0.785;731;60.20%;214;36.90%;59.10%;62.80%;81;205.74
526;Jordan Sibert;FALSE;Atl;G;26.69;1;4.2;0;0;0;0.00%;1;100.00%;150.00%;150.00%;76;193.04
527;Ben Simmons;FALSE;Phi;G-F;22.72;79;34.2;428;0.6;954;56.60%;6;0.00%;56.30%;58.20%;82;208.28
528;Jonathon Simmons;TRUE;Orl;F;29.57;41;20.6;72;0.778;203;41.90%;83;22.90%;39.70%;44.50%;78;198.12
529;Jonathon Simmons;TRUE;Phi;F;29.57;15;14.6;25;0.64;43;46.50%;21;42.90%;52.30%;55.30%;78;198.12
530;Kobi Simmons;FALSE;Cle;G;21.77;1;1.8;0;0;0;0.00%;0;0.00%;0.00%;0.00%;77;195.58
531;Anfernee Simons;FALSE;Por;G;19.84;20;7;16;0.563;34;52.90%;29;34.50%;52.40%;53.50%;76;193.04
532;Marcus Smart;FALSE;Bos;G;25.1;80;27.5;129;0.806;221;51.10%;346;36.40%;53.30%;56.80%;76;193.04
533;Dennis Smith Jr.;TRUE;Dal;G;21.38;32;28.4;82;0.695;233;48.90%;125;34.40%;49.90%;52.50%;75;190.5
534;Dennis Smith Jr.;TRUE;Nyk;G;21.38;21;28.6;74;0.568;210;46.20%;83;28.90%;45.40%;47.30%;75;190.5
535;Ish Smith;FALSE;Det;G;30.77;56;22.3;62;0.758;355;45.40%;135;32.60%;46.30%;48.40%;72;182.88
536;Jason Smith;TRUE;Was;F-C;33.11;12;10.8;12;0.833;27;40.70%;10;40.00%;45.90%;52.00%;84;213.36
537;Jason Smith;TRUE;Mil;F-C;33.11;6;6.8;2;1;4;25.00%;9;33.30%;42.30%;46.80%;84;213.36
538;Jason Smith;TRUE;Nor;F-C;33.11;2;10.2;2;1;2;0.00%;7;28.60%;33.30%;40.50%;84;213.36
539;JR Smith;FALSE;Cle;G-F;33.59;11;20.2;10;0.8;40;37.50%;39;30.80%;41.80%;44.40%;78;198.12
540;Zhaire Smith;FALSE;Phi;G;19.85;6;18.4;8;0.75;18;44.40%;16;37.50%;50.00%;53.30%;76;193.04
541;Tony Snell;FALSE;Mil;G;27.42;74;17.6;42;0.881;157;52.20%;204;39.70%;56.40%;58.50%;79;200.66
542;Ray Spalding;TRUE;Dal;F;22.09;1;0.9;0;0;0;0.00%;0;0.00%;0.00%;0.00%;82;208.28
543;Ray Spalding;TRUE;Pho;F;22.09;13;11.3;12;0.333;44;56.80%;3;0.00%;53.20%;51.60%;82;208.28
