ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
217;Rudy Gobert;FALSE;Uta;C;26.79;81;31.8;522;0.636;712;66.90%;0;0.00%;66.90%;68.20%;85;215.9
218;Brandon Goodwin;FALSE;Den;G;23.52;16;3.6;11;0.818;17;23.50%;6;33.30%;30.40%;41.30%;72;182.88
219;Aaron Gordon;FALSE;Orl;F;23.57;78;33.8;253;0.731;699;49.90%;347;34.90%;50.70%;53.80%;81;205.74
220;Eric Gordon;FALSE;Hou;G;30.29;68;31.7;152;0.783;338;49.70%;600;36.00%;52.50%;54.90%;76;193.04
221;Marcin Gortat;FALSE;Lac;C;35.15;47;16;48;0.729;186;53.20%;0;0.00%;53.20%;56.20%;83;210.82
222;Devonte' Graham;FALSE;Cha;G;24.13;46;14.7;46;0.761;95;42.10%;121;28.10%;42.10%;45.90%;74;187.96
223;Treveon Graham;FALSE;Bro;F;25.45;35;20.4;22;0.818;63;41.30%;128;29.70%;43.50%;45.80%;77;195.58
224;Donte Grantham;FALSE;Okc;F;24.06;3;0.8;0;0;0;0.00%;2;0.00%;0.00%;0.00%;80;203.2
225;Jerami Grant;FALSE;Okc;F;25.08;80;32.7;221;0.71;530;55.50%;293;39.20%;56.70%;59.20%;76;193.04
226;Jerian Grant;FALSE;Orl;G;26.5;60;15.6;40;0.65;110;47.30%;110;36.40%;50.90%;52.60%;81;205.74
227;Danny Green;FALSE;Tor;G-F;31.8;80;27.7;44;0.841;195;48.70%;434;45.60%;62.30%;63.30%;78;198.12
228;Draymond Green;FALSE;Gol;F;29.1;66;31.3;91;0.692;257;54.90%;165;28.50%;50.10%;52.60%;79;200.66
229;Gerald Green;FALSE;Hou;G-F;33.21;73;20.2;68;0.838;137;54.70%;441;35.40%;53.50%;55.50%;79;200.66
230;JaMychal Green;FALSE;Mem;F;28.81;41;21.9;80;0.788;216;52.30%;96;39.60%;54.50%;58.00%;81;205.74
231;JaMychal Green;FALSE;Lac;F;28.81;24;19.6;21;0.81;84;54.80%;80;41.30%;58.20%;60.00%;81;205.74
232;Jeff Green;FALSE;Was;F;32.62;77;27.2;206;0.888;367;58.60%;320;34.70%;55.50%;60.80%;81;205.74
233;Blake Griffin;FALSE;Det;F;30.07;75;35;550;0.753;819;52.50%;522;36.20%;53.20%;58.10%;82;208.28
234;Daniel Hamilton;FALSE;Atl;G-F;23.67;19;10.7;6;0.5;37;40.50%;23;34.80%;45.00%;45.50%;79;200.66
235;Dusty Hannahs;FALSE;Mem;G;25.61;2;13;2;1;7;42.90%;5;0.00%;25.00%;31.10%;76;193.04
236;Tim Hardaway Jr.;TRUE;Nyk;G;27.07;46;32.6;233;0.854;389;42.40%;337;34.70%;46.90%;53.10%;78;198.12
237;Tim Hardaway Jr.;TRUE;Dal;G;27.07;19;29.3;43;0.767;127;49.60%;140;32.10%;48.90%;51.40%;78;198.12
238;James Harden;FALSE;Hou;G;29.63;78;36.8;858;0.879;881;52.80%;1028;36.80%;54.10%;61.60%;77;195.58
239;Maurice Harkless;FALSE;Por;F;25.92;60;23.6;73;0.671;268;58.20%;120;27.50%;53.00%;54.70%;81;205.74
240;Montrezl Harrell;FALSE;Lac;F-C;25.21;82;26.3;414;0.643;871;62.30%;17;17.60%;61.70%;63.60%;80;203.2
241;Devin Harris;FALSE;Dal;G;36.12;68;15.7;134;0.761;147;47.60%;200;31.00%;47.00%;52.70%;75;190.5
242;Gary Harris;FALSE;Den;G;24.57;57;28.8;144;0.799;394;47.70%;242;33.90%;48.90%;52.70%;76;193.04
243;Joe Harris;FALSE;Bro;G-F;27.59;76;30.2;133;0.827;363;52.60%;386;47.40%;62.10%;64.50%;78;198.12
244;Andrew Harrison;TRUE;Mem;G;24.47;1;4.5;0;0;1;100.00%;1;0.00%;50.00%;50.00%;78;198.12
245;Andrew Harrison;TRUE;Cle;G;24.47;10;14.4;16;1;25;36.00%;14;21.40%;34.60%;46.70%;78;198.12
246;Andrew Harrison;TRUE;Nor;G;24.47;6;6.3;2;0.5;2;50.00%;10;20.00%;33.30%;34.90%;78;198.12
247;Shaquille Harrison;FALSE;Chi;G;25.51;73;19.6;123;0.667;337;47.50%;89;27.00%;46.00%;49.40%;76;193.04
248;Tobias Harris;TRUE;Lac;F;26.74;55;34.6;219;0.877;596;52.30%;258;43.40%;56.20%;60.60%;81;205.74
249;Tobias Harris;TRUE;Phi;F;26.74;27;35;88;0.841;264;54.20%;135;32.60%;52.40%;56.20%;81;205.74
250;Isaiah Hartenstein;FALSE;Hou;F-C;20.93;28;7.9;14;0.786;35;51.40%;6;33.30%;51.20%;56.20%;84;213.36
251;Josh Hart;FALSE;Lal;G;24.1;67;25.6;80;0.688;190;51.10%;274;33.60%;50.60%;52.60%;77;195.58
252;Udonis Haslem;FALSE;Mia;F;38.84;10;7.5;4;0.75;21;52.40%;12;0.00%;33.30%;36.00%;80;203.2
253;Gordon Hayward;FALSE;Bos;F;29.05;72;25.9;187;0.834;404;54.20%;231;33.30%;52.70%;57.50%;80;203.2
254;John Henson;FALSE;Mil;F;28.29;14;13.5;10;0.6;36;55.60%;31;35.50%;54.50%;55.30%;83;210.82
255;Juancho Hernangomez;FALSE;Den;F;23.54;70;19.4;86;0.767;132;54.50%;181;36.50%;54.60%;58.10%;81;205.74
256;Willy Hernangomez;FALSE;Cha;C;24.87;58;14;144;0.694;257;53.70%;39;38.50%;54.20%;58.60%;83;210.82
257;Mario Hezonja;FALSE;Nyk;F;24.12;58;20.8;114;0.763;312;47.80%;152;27.60%;45.70%;49.70%;80;203.2
258;Isaiah Hicks;FALSE;Nyk;F;24.72;3;10.8;5;0.8;8;50.00%;0;0.00%;50.00%;58.80%;81;205.74
259;Buddy Hield;FALSE;Sac;G;25.32;82;31.9;193;0.886;709;48.70%;651;42.70%;56.00%;58.70%;76;193.04
260;Haywood Highsmith;FALSE;Phi;F;22.34;5;8;2;0;5;60.00%;5;20.00%;45.00%;41.40%;76;193.04
261;George Hill;TRUE;Cle;G;32.94;13;26.5;20;0.85;79;53.20%;28;46.40%;57.50%;60.40%;75;190.5
262;George Hill;TRUE;Mil;G;32.94;47;20.4;65;0.815;144;55.60%;125;28.00%;49.30%;53.40%;75;190.5
263;Solomon Hill;FALSE;Nor;F;28.07;44;20;32;0.719;77;46.80%;101;31.70%;47.20%;49.70%;79;200.66
264;Aaron Holiday;FALSE;Ind;G;22.53;50;12.9;50;0.82;135;45.90%;127;33.90%;48.30%;51.80%;73;185.42
265;Jrue Holiday;FALSE;Nor;G;28.83;67;35.8;271;0.768;796;53.90%;363;32.50%;52.30%;55.50%;76;193.04
266;Justin Holiday;TRUE;Chi;G;30.02;38;34.9;46;0.891;124;43.50%;270;35.90%;50.60%;53.10%;78;198.12
267;Justin Holiday;TRUE;Mem;F-G;30.02;44;29.1;60;0.9;188;44.70%;195;33.30%;47.40%;50.90%;78;198.12
268;John Holland;FALSE;Cle;G;30.43;1;0.7;0;0;0;0.00%;0;0.00%;0.00%;0.00%;77;195.58
269;Rondae Hollis-Jefferson;FALSE;Bro;F;24.27;59;20.9;183;0.645;438;43.60%;49;18.40%;42.00%;46.40%;79;200.66
270;Richaun Holmes;FALSE;Pho;F-C;25.49;70;16.9;175;0.731;365;60.80%;0;0.00%;60.80%;64.70%;82;208.28
271;Rodney Hood;TRUE;Cle;G;26.47;45;27.4;114;0.912;302;46.00%;152;36.20%;48.80%;54.20%;80;203.2
272;Rodney Hood;TRUE;Por;G;26.47;27;24.4;41;0.805;133;51.90%;84;34.50%;51.80%;54.90%;80;203.2
273;Al Horford;FALSE;Bos;F-C;32.86;68;29;97;0.825;520;60.40%;203;36.00%;58.60%;60.50%;82;208.28
274;Danuel House Jr.;FALSE;Hou;F-G;25.84;39;25.1;71;0.789;74;59.50%;178;41.60%;61.50%;64.60%;79;200.66
275;Dwight Howard;FALSE;Was;C;33.34;9;25.5;48;0.604;69;62.30%;0;0.00%;62.30%;63.80%;83;210.82
276;Kevin Huerter;FALSE;Atl;G;20.62;75;27.3;56;0.732;304;45.70%;354;38.40%;52.10%;53.20%;79;200.66
277;Isaac Humphries;FALSE;Atl;C;21.26;5;11.3;0;0;10;30.00%;11;27.30%;35.70%;35.70%;83;210.82
278;RJ Hunter;FALSE;Bos;G;25.46;1;25.7;2;0.5;3;66.70%;10;40.00%;61.50%;61.20%;77;195.58
279;Chandler Hutchison;FALSE;Chi;F;22.96;44;20.3;38;0.605;159;51.60%;50;28.00%;49.30%;50.70%;79;200.66
280;Serge Ibaka;FALSE;Tor;F-C;29.56;74;27.2;177;0.763;708;58.60%;169;29.00%;55.70%;58.20%;82;208.28
281;Andre Iguodala;FALSE;Gol;G-F;35.2;68;23.2;67;0.582;158;65.20%;144;33.30%;57.90%;58.70%;78;198.12
282;Ersan Ilyasova;FALSE;Mil;F;31.91;67;18.4;74;0.824;221;49.30%;160;36.30%;51.40%;54.80%;82;208.28
283;Joe Ingles;FALSE;Uta;F;31.52;82;31.3;123;0.707;319;53.30%;483;39.10%;56.50%;58.10%;80;203.2
284;Andre Ingram;FALSE;Lal;G;33.39;4;3.7;0;0;3;0.00%;3;0.00%;0.00%;0.00%;75;190.5
285;Brandon Ingram;FALSE;Lal;F;21.61;52;33.9;289;0.675;634;52.20%;94;33.00%;51.90%;55.50%;81;205.74
286;Kyrie Irving;FALSE;Bos;G;27.05;67;33;245;0.873;807;53.30%;434;40.10%;55.70%;59.20%;75;190.5
287;Jonathan Isaac;FALSE;Orl;F;21.52;75;26.6;135;0.815;345;51.00%;266;32.30%;49.90%;53.70%;82;208.28
288;Wes Iwundu;FALSE;Orl;F;24.31;68;18.1;103;0.816;195;43.10%;79;36.70%;46.50%;53.10%;79;200.66
289;Jaren Jackson Jr.;FALSE;Mem;F-C;19.57;58;26.1;197;0.766;448;55.10%;142;35.90%;54.80%;59.00%;83;210.82
290;Demetrius Jackson;FALSE;Phi;G;24.59;6;6.6;4;1;9;66.70%;6;33.30%;60.00%;65.60%;73;185.42
291;Frank Jackson;FALSE;Nor;G;20.94;61;19.2;73;0.74;278;50.70%;170;31.20%;49.20%;51.50%;75;190.5
292;Josh Jackson;FALSE;Pho;F;22.16;79;25.2;213;0.671;616;44.50%;225;32.40%;45.60%;48.70%;80;203.2
293;Justin Jackson;TRUE;Sac;F;24.04;52;20.8;50;0.82;136;51.50%;159;34.60%;51.70%;54.60%;80;203.2
294;Justin Jackson;TRUE;Dal;F;24.04;29;18.3;29;0.724;104;57.70%;86;37.20%;56.80%;58.40%;80;203.2
295;Reggie Jackson;FALSE;Det;G;28.99;82;27.9;236;0.864;576;46.40%;471;36.90%;50.40%;54.70%;75;190.5
296;LeBron James;FALSE;Lal;F;34.28;55;35.2;418;0.665;768;58.20%;327;33.90%;56.00%;58.80%;80;203.2
297;Amile Jefferson;FALSE;Orl;F;25.93;12;5.7;8;0.875;16;62.50%;0;0.00%;62.50%;69.20%;81;205.74
298;John Jenkins;TRUE;Was;G;28.1;4;3.6;0;0;0;0.00%;2;100.00%;150.00%;150.00%;76;193.04
299;John Jenkins;TRUE;Nyk;G;28.1;22;14.5;18;0.833;46;43.50%;57;35.10%;48.50%;51.80%;76;193.04
300;Jonas Jerebko;FALSE;Gol;F;32.11;73;16.7;80;0.8;167;56.30%;188;36.70%;55.60%;58.80%;82;208.28
301;Alize Johnson;TRUE;Ind;F;22.97;14;4.6;8;0.5;14;21.40%;2;50.00%;28.10%;33.30%;81;205.74
302;Amir Johnson;TRUE;Phi;C-F;31.95;51;10.4;41;0.756;117;57.30%;40;30.00%;54.10%;57.40%;81;205.74
303;BJ Johnson;TRUE;Atl;F;23.31;6;7.2;2;1;10;50.00%;6;50.00%;59.40%;62.20%;79;200.66
304;BJ Johnson;TRUE;Sac;F;23.31;1;6.1;0;0;1;100.00%;1;0.00%;50.00%;50.00%;79;200.66
305;James Johnson;FALSE;Mia;F;32.14;55;21.2;70;0.714;230;49.60%;149;33.60%;49.90%;52.20%;80;203.2
306;Stanley Johnson;TRUE;Det;F;22.87;48;20;51;0.804;168;48.80%;181;28.20%;45.40%;48.20%;79;200.66
307;Stanley Johnson;TRUE;Nor;F;22.87;18;13.7;13;0.692;57;47.40%;34;32.40%;47.80%;49.60%;79;200.66
308;Tyler Johnson;TRUE;Mia;G;26.93;44;25.5;88;0.693;197;50.30%;204;35.30%;51.60%;54.00%;76;193.04
309;Tyler Johnson;TRUE;Pho;G;26.93;13;31.2;39;0.872;69;40.60%;56;32.10%;44.00%;50.60%;76;193.04
310;Wesley Johnson;TRUE;Nor;F-G;31.75;26;14.5;9;0.667;38;42.10%;50;38.00%;50.60%;51.70%;79;200.66
311;Wesley Johnson;TRUE;Was;F-G;31.75;12;13.1;10;0.7;14;28.60%;26;23.10%;32.50%;37.20%;79;200.66
312;Nikola Jokic;FALSE;Den;C;24.14;80;31.3;352;0.821;936;56.90%;270;30.70%;54.50%;58.90%;84;213.36
313;Derrick Jones Jr.;FALSE;Mia;F-G;22.15;60;19.2;122;0.607;234;56.40%;91;30.80%;53.50%;55.70%;79;200.66
314;Damian Jones;FALSE;Gol;C;23.78;24;17.1;37;0.649;74;71.60%;0;0.00%;71.60%;72.00%;84;213.36
315;Jalen Jones;FALSE;Cle;F;25.87;16;13.4;27;0.704;34;47.10%;28;35.70%;50.00%;54.80%;79;200.66
316;Jemerrio Jones;FALSE;Lal;F;24.01;6;23.9;2;0.5;23;43.50%;10;20.00%;39.40%;39.80%;77;195.58
317;Terrence Jones;FALSE;Hou;F;27.25;2;2.6;1;0;2;50.00%;2;0.00%;25.00%;22.50%;81;205.74
318;Tyus Jones;FALSE;Min;G;22.92;68;22.9;69;0.841;320;45.30%;126;31.70%;46.00%;49.10%;72;182.88
319;DeAndre Jordan;TRUE;Dal;C;30.72;50;31.1;198;0.682;323;64.40%;0;0.00%;64.40%;67.20%;83;210.82
320;DeAndre Jordan;TRUE;Nyk;C;30.72;19;26;66;0.773;123;63.40%;0;0.00%;63.40%;68.10%;83;210.82
321;Cory Joseph;FALSE;Ind;G;27.64;82;25.2;43;0.698;377;45.40%;171;32.20%;46.30%;47.40%;75;190.5
322;Frank Kaminsky;FALSE;Cha;F-C;26.02;47;16.1;107;0.738;160;55.00%;139;36.00%;54.50%;58.50%;84;213.36
323;Enes Kanter;TRUE;Nyk;C;26.89;44;25.6;129;0.814;446;54.70%;22;31.80%;54.40%;58.50%;83;210.82
324;Enes Kanter;TRUE;Por;C;26.89;23;22.2;68;0.735;203;59.60%;12;25.00%;58.40%;61.40%;83;210.82
325;Luke Kennard;FALSE;Det;G;22.8;63;22.8;61;0.836;251;48.60%;269;39.40%;54.00%;56.00%;77;195.58
326;Michael Kidd-Gilchrist;FALSE;Cha;F;25.54;64;18.4;123;0.772;285;49.80%;47;34.00%;50.00%;55.30%;79;200.66
327;George King;FALSE;Pho;F;25.24;1;5.9;0;0;0;0.00%;0;0.00%;0.00%;0.00%;78;198.12
328;Maxi Kleber;FALSE;Dal;F;27.2;71;21.2;74;0.784;168;58.30%;218;35.30%;55.30%;57.90%;83;210.82
329;Brandon Knight;TRUE;Hou;G;27.36;12;9.8;11;0.818;15;40.00%;32;15.60%;28.70%;34.70%;75;190.5
330;Brandon Knight;TRUE;Cle;G;27.36;27;22.9;23;0.783;116;44.80%;97;37.10%;49.80%;51.50%;75;190.5
331;Kevin Knox;FALSE;Nyk;F;19.67;75;28.8;226;0.717;551;38.70%;364;34.30%;43.80%;47.50%;81;205.74
332;Furkan Korkmaz;FALSE;Phi;G-F;21.72;48;14.2;44;0.818;101;50.50%;144;32.60%;49.60%;52.80%;79;200.66
333;Luke Kornet;FALSE;Nyk;F-C;23.74;46;17;46;0.826;90;41.10%;193;36.30%;50.20%;53.10%;85;215.9
334;Kyle Korver;TRUE;Cle;G-F;38.07;16;15.7;16;0.813;22;45.50%;54;46.30%;62.50%;65.00%;79;200.66
335;Kyle Korver;TRUE;Uta;G-F;38.07;54;20;57;0.825;113;46.90%;294;38.40%;54.70%;56.90%;79;200.66
336;Kosta Koufos;FALSE;Sac;C;30.13;42;11.9;24;0.417;153;47.70%;0;0.00%;47.70%;47.70%;84;213.36
337;Rodions Kurucs;FALSE;Bro;F;21.18;63;20.5;92;0.783;265;54.30%;184;31.50%;51.40%;54.50%;81;205.74
338;Kyle Kuzma;FALSE;Lal;F;23.72;70;33.1;250;0.752;665;55.30%;422;30.30%;51.50%;54.60%;81;205.74
339;Skal Labissiere;TRUE;Sac;F;23.06;13;8.7;11;0.545;19;47.40%;11;36.40%;50.00%;51.70%;83;210.82
340;Skal Labissiere;TRUE;Por;F;23.06;9;7;6;0.5;17;64.70%;2;100.00%;73.70%;71.60%;83;210.82
341;Jeremy Lamb;FALSE;Cha;G;26.86;79;28.5;260;0.888;648;48.80%;330;34.80%;49.90%;55.30%;77;195.58
342;Zach LaVine;FALSE;Chi;G;24.09;63;34.5;375;0.832;814;50.40%;321;37.40%;52.00%;57.40%;77;195.58
343;Jake Layman;FALSE;Por;F;25.1;71;18.7;71;0.704;243;64.60%;181;32.60%;57.90%;59.40%;81;205.74
344;TJ Leaf;FALSE;Ind;F;21.95;58;9;31;0.613;152;59.90%;31;25.80%;56.30%;57.20%;82;208.28
345;Courtney Lee;TRUE;Nyk;G;33.52;12;13.4;14;0.643;31;51.60%;16;31.30%;50.00%;52.70%;77;195.58
346;Courtney Lee;TRUE;Dal;G;33.52;22;12.2;7;0.714;43;48.80%;39;28.20%;45.70%;47.00%;77;195.58
347;Damion Lee;FALSE;Gol;G;26.47;32;11.7;22;0.864;59;49.20%;68;39.70%;54.70%;57.80%;78;198.12
348;Walter Lemon Jr.;FALSE;Chi;G;27.71;6;27.9;11;0.727;82;43.90%;5;40.00%;44.80%;46.80%;75;190.5
349;Alex Len;FALSE;Atl;C;25.82;77;20.1;216;0.648;444;55.40%;204;36.30%;55.10%;57.50%;85;215.9
350;Kawhi Leonard;FALSE;Tor;F;27.78;60;34;426;0.854;827;54.20%;302;37.10%;54.60%;60.60%;79;200.66
351;Meyers Leonard;FALSE;Por;F-C;27.12;61;14.4;51;0.843;131;62.60%;111;45.00%;64.90%;67.50%;85;215.9
352;Jon Leuer;FALSE;Det;F;29.91;41;9.8;31;0.742;102;63.70%;12;8.30%;58.30%;61.10%;82;208.28
353;Caris LeVert;FALSE;Bro;G;24.63;40;26.6;123;0.691;330;48.20%;154;31.20%;47.70%;50.80%;79;200.66
354;Damian Lillard;FALSE;Por;G;28.74;80;35.5;513;0.912;890;49.90%;643;36.90%;52.20%;58.80%;75;190.5
355;Jeremy Lin;TRUE;Atl;G;30.63;51;19.7;168;0.845;254;53.50%;132;33.30%;52.30%;59.40%;75;190.5
356;Jeremy Lin;TRUE;Tor;G;30.63;23;18.8;42;0.81;100;47.00%;55;20.00%;41.00%;46.40%;75;190.5
357;Shaun Livingston;FALSE;Gol;G;33.58;64;15.1;51;0.784;208;52.40%;2;0.00%;51.90%;55.50%;79;200.66
358;Zach Lofton;FALSE;Det;G;26.39;1;3.8;0;0;0;0.00%;1;0.00%;0.00%;0.00%;76;193.04
359;Kevon Looney;FALSE;Gol;F;23.18;80;18.5;105;0.619;338;63.90%;10;10.00%;62.50%;63.40%;81;205.74
360;Brook Lopez;FALSE;Mil;C;31.03;81;28.7;133;0.842;273;61.50%;512;36.50%;57.10%;59.80%;84;213.36
361;Robin Lopez;FALSE;Chi;C;31.03;74;21.7;123;0.724;504;58.90%;31;22.60%;57.50%;59.80%;84;213.36
362;Kevin Love;FALSE;Cle;F-C;30.59;22;27.2;114;0.904;136;41.20%;147;36.10%;47.90%;56.10%;82;208.28
363;Kyle Lowry;FALSE;Tor;G;33.05;65;34.1;194;0.83;286;51.40%;453;34.70%;51.80%;56.20%;73;185.42
364;Jordan Loyd;FALSE;Tor;G;25.71;12;4.6;11;0.818;10;40.00%;8;50.00%;55.60%;63.50%;76;193.04
365;Kalin Lucas;FALSE;Det;G;29.88;1;5.6;2;1;0;0.00%;1;0.00%;0.00%;53.20%;73;185.42
366;Timothe Luwawu-Cabarrot;TRUE;Okc;G-F;23.92;21;5.8;6;0.667;21;38.10%;22;22.70%;36.00%;38.30%;78;198.12
367;Timothe Luwawu-Cabarrot;TRUE;Chi;G-F;23.92;29;18.8;35;0.771;81;46.90%;94;33.00%;48.30%;51.50%;78;198.12
368;Tyler Lydon;FALSE;Den;F;23;25;3.7;3;0.333;8;62.50%;10;40.00%;61.10%;59.50%;82;208.28
369;Trey Lyles;FALSE;Den;F;23.43;63;17.8;116;0.698;294;53.10%;200;25.50%;47.10%;50.10%;82;208.28
370;Scott Machado;FALSE;Lal;G;28.84;4;4.8;1;1;5;60.00%;1;100.00%;75.00%;77.60%;73;185.42
371;Shelvin Mack;FALSE;Mem;G;28.97;53;22.7;75;0.707;261;44.10%;128;35.90%;47.30%;49.90%;75;190.5
372;Shelvin Mack;FALSE;Cha;G;28.97;4;10.6;9;0.556;12;16.70%;2;0.00%;14.30%;25.10%;75;190.5
373;Daryl Macon;FALSE;Dal;G;23.37;8;11.2;7;0.571;16;31.30%;11;45.50%;46.30%;48.20%;75;190.5
374;J.P. Macura;FALSE;Cha;G;23.85;2;8.4;0;0;5;60.00%;4;0.00%;33.30%;33.30%;77;195.58
375;Ian Mahinmi;FALSE;Was;C;32.43;34;14.6;61;0.689;89;49.40%;16;18.80%;46.20%;52.70%;83;210.82
376;Thon Maker;FALSE;Mil;F;22.12;35;11.7;37;0.541;56;58.90%;78;33.30%;53.70%;54.60%;85;215.9
377;Thon Maker;FALSE;Det;F;22.12;29;19.4;47;0.766;59;45.80%;75;30.70%;45.90%;51.40%;85;215.9
378;Boban Marjanovic;TRUE;Lac;C;30.65;34;11.1;95;0.758;138;61.60%;2;0.00%;60.70%;66.60%;87;220.98
379;Boban Marjanovic;TRUE;Phi;C;30.65;22;13.9;36;0.722;112;63.40%;8;50.00%;64.20%;66.30%;87;220.98
380;Lauri Markkanen;FALSE;Chi;F;21.89;52;32.3;195;0.872;463;47.90%;332;36.10%;50.60%;55.30%;84;213.36
381;Jarell Martin;FALSE;Orl;F;24.88;42;7.8;11;0.818;47;48.90%;57;35.10%;51.00%;52.80%;82;208.28
382;Frank Mason;FALSE;Sac;G;25.02;38;11.5;57;0.684;105;54.30%;64;21.90%;46.20%;50.20%;71;180.34
383;Yante Maten;FALSE;Mia;F;22.66;2;6.5;0;0;3;33.30%;1;0.00%;25.00%;25.00%;80;203.2
384;Wesley Matthews;TRUE;Dal;G-F;32.49;44;29.8;110;0.791;206;45.60%;263;38.00%;52.00%;55.60%;77;195.58
385;Wesley Matthews;TRUE;Nyk;G-F;32.49;2;27;5;0.8;9;22.20%;10;20.00%;26.30%;33.00%;77;195.58
386;Wesley Matthews;TRUE;Ind;G-F;32.49;23;31.5;48;0.854;81;40.70%;130;36.90%;49.80%;54.10%;77;195.58
387;Luc Mbah a;FALSE;Lac;F;32.59;4;15.3;5;0.4;12;50.00%;6;33.30%;50.00%;49.50%;80;203.2
388;Tahjere McCall;FALSE;Bro;G;24.65;1;8;1;0;2;100.00%;1;0.00%;66.70%;58.10%;76;193.04
389;Patrick McCaw;TRUE;Cle;G;23.46;3;17.6;0;0;5;20.00%;4;25.00%;27.80%;27.80%;79;200.66
390;Patrick McCaw;TRUE;Tor;G;23.46;26;13.2;15;0.867;30;53.30%;24;33.30%;51.90%;56.90%;79;200.66
391;CJ McCollum;FALSE;Por;G;27.56;70;33.9;192;0.828;798;50.60%;445;37.50%;52.70%;55.30%;75;190.5
392;T.J. McConnell;FALSE;Phi;G;27.04;76;19.3;37;0.784;377;54.60%;43;32.60%;54.00%;55.40%;74;187.96
393;Doug McDermott;FALSE;Ind;F;27.27;77;17.4;79;0.835;217;56.70%;206;40.80%;58.90%;61.60%;80;203.2
394;JaVale McGee;FALSE;Lal;C;31.23;75;22.3;152;0.632;629;63.40%;12;8.30%;62.50%;63.40%;84;213.36
395;Rodney McGruder;FALSE;Mia;G-F;27.7;66;23.5;72;0.722;236;45.30%;227;34.80%;48.70%;50.80%;76;193.04
396;Alfonzo McKinnie;FALSE;Gol;F;26.56;72;13.9;48;0.563;158;58.20%;118;35.60%;56.20%;56.70%;80;203.2
397;Ben McLemore;FALSE;Sac;G;26.16;19;8.3;12;0.667;23;34.80%;41;41.50%;52.30%;54.10%;77;195.58
398;Jordan McRae;FALSE;Was;G;28.04;27;12.3;35;0.8;95;53.70%;35;28.60%;50.80%;55.00%;77;195.58
399;Jodie Meeks;FALSE;Tor;G;31.64;8;13;1;1;21;61.90%;18;44.40%;64.10%;64.70%;76;193.04
400;Salah Mejri;FALSE;Dal;C;32.82;36;11.1;32;0.625;78;56.40%;34;32.40%;54.00%;55.90%;86;218.44
401;De'Anthony Melton;FALSE;Pho;G;20.87;50;19.7;28;0.75;161;44.10%;95;30.50%;44.70%;46.60%;76;193.04
402;Chimezie Metu;FALSE;San;F;22.06;29;5;17;0.765;56;33.90%;2;0.00%;32.80%;38.90%;82;208.28
403;Khris Middleton;FALSE;Mil;F;27.66;77;31.1;258;0.837;674;48.50%;474;37.80%;51.90%;55.80%;80;203.2
404;CJ Miles;TRUE;Tor;F-G;32.07;40;14.1;44;0.795;69;39.10%;137;31.40%;44.40%;48.40%;78;198.12
405;CJ Miles;TRUE;Mem;F-G;32.07;13;22.6;14;0.929;39;46.20%;66;36.40%;51.40%;54.40%;78;198.12
406;Darius Miller;FALSE;Nor;F;29.06;69;25.5;71;0.789;120;46.70%;364;36.50%;52.80%;55.00%;80;203.2
407;Malcolm Miller;FALSE;Tor;F;26.1;10;6.7;4;0.75;5;20.00%;21;47.60%;61.50%;63.00%;79;200.66
408;Paul Millsap;FALSE;Den;F;34.16;70;27.1;249;0.727;507;52.10%;159;36.50%;52.70%;56.90%;80;203.2
409;Patty Mills;FALSE;San;G;30.66;82;23.3;105;0.848;259;47.50%;404;39.40%;54.50%;57.20%;72;182.88
410;Shake Milton;FALSE;Phi;G;22.54;20;13.4;7;0.714;43;46.50%;44;31.80%;47.10%;48.30%;78;198.12
411;Nikola Mirotic;TRUE;Nor;F;28.16;32;28.9;101;0.842;176;55.10%;231;36.80%;55.20%;59.10%;82;208.28
412;Nikola Mirotic;TRUE;Mil;F;28.16;14;22.9;23;0.87;48;52.10%;87;35.60%;53.00%;56.20%;82;208.28
413;Donovan Mitchell;FALSE;Uta;G;22.59;77;33.7;396;0.806;1010;46.80%;520;36.20%;49.30%;53.70%;75;190.5
414;Naz Mitrou-Long;FALSE;Uta;G;25.69;14;6;2;1;9;44.40%;11;18.20%;35.00%;38.30%;76;193.04
415;Malik Monk;FALSE;Cha;G;21.18;73;17.2;102;0.882;256;46.10%;330;33.00%;48.00%;51.80%;75;190.5
416;Greg Monroe;TRUE;Tor;C;28.85;38;11.1;61;0.574;157;47.10%;4;0.00%;46.00%;48.70%;83;210.82
417;Greg Monroe;TRUE;Bos;C;28.85;2;2.4;0;0;5;60.00%;0;0.00%;60.00%;60.00%;83;210.82
418;Greg Monroe;TRUE;Phi;C;28.85;3;17.5;11;0.909;22;63.60%;1;100.00%;67.40%;73.60%;83;210.82
419;E'Twaun Moore;FALSE;Nor;G;30.12;53;27.6;59;0.763;356;50.60%;176;43.20%;55.30%;56.70%;76;193.04
420;Eric Moreland;TRUE;Pho;F-C;27.3;1;5;0;0;0;0.00%;0;0.00%;0.00%;0.00%;82;208.28
421;Eric Moreland;TRUE;Tor;F-C;27.3;4;9.6;0;0;6;33.30%;1;100.00%;50.00%;50.00%;82;208.28
422;Jaylen Morris;FALSE;Mil;G;23.56;4;7.1;2;0.5;7;42.90%;3;33.30%;45.00%;46.00%;77;195.58
