Titel;playstation?;xbox?;nintendo?;pc?;sonstige?;Punkte;Genre;editors_choice;Veröffentlichung_Jahr;Veröffentlichung_Monat
Halo: Fireteam Raven;FALSE;FALSE;FALSE;FALSE;TRUE;7.3;Shooter;N;2018;7
Harry Potter: Hogwarts Mystery;FALSE;FALSE;FALSE;FALSE;TRUE;3.5;RPG;N;2018;4
Heroes of the Storm 2.0;FALSE;FALSE;FALSE;TRUE;TRUE;8;Strategy;N;2018;4
Hitman 2;TRUE;TRUE;FALSE;TRUE;FALSE;7.7;Stealth;N;2018;11
Hollow Knight;TRUE;TRUE;TRUE;TRUE;TRUE;9.4;Action-Adventure;Y;2018;6
Hyrule Warriors Definitive Edition;FALSE;FALSE;TRUE;FALSE;FALSE;7.5;Action;N;2018;5
Iconoclasts;TRUE;FALSE;TRUE;TRUE;TRUE;8.4;Platformer;N;2018;1
Injustice 2: Teenage Mutant Ninja Turtles DLC;TRUE;TRUE;FALSE;TRUE;TRUE;8.8;Fighting;N;2018;2
InnerSpace;TRUE;TRUE;TRUE;TRUE;FALSE;6;Adventure;N;2018;8
Insurgency: Sandstorm;TRUE;TRUE;FALSE;TRUE;FALSE;8.8;Shooter;N;2018;12
Into the Breach;FALSE;FALSE;TRUE;TRUE;TRUE;9;Strategy;Y;2018;2
Jurassic World Evolution;TRUE;TRUE;FALSE;TRUE;FALSE;4.8;Simulation;N;2018;6
Just Cause 4;TRUE;TRUE;FALSE;TRUE;FALSE;7.9;Action;N;2018;12
Katamari Damacy Reroll;FALSE;FALSE;TRUE;TRUE;FALSE;8.8;Puzzle;Y;2018;12
Killing Floor: Incursion;TRUE;FALSE;FALSE;FALSE;FALSE;8;Shooter;N;2018;5
Kingdom Come: Deliverance;TRUE;TRUE;FALSE;TRUE;FALSE;8;Action-RPG;N;2018;2
Kirby Star Allies;FALSE;FALSE;TRUE;FALSE;FALSE;8.3;Platformer;N;2018;3
Last Year: The Nightmare;FALSE;FALSE;FALSE;TRUE;FALSE;7.3;Survival;N;2018;12
LEGO DC Super-Villians;TRUE;TRUE;TRUE;TRUE;FALSE;7.8;Action-Adventure;N;2018;10
Life is Strange 2 - Episode 1;TRUE;TRUE;FALSE;TRUE;FALSE;7.7;Adventure;N;2018;9
Little Dragons Cafe;FALSE;FALSE;TRUE;FALSE;FALSE;6.4;Simulator;N;2018;8
Lost Sphear;TRUE;FALSE;TRUE;TRUE;FALSE;6.7;RPG;N;2018;1
Luigi's Mansion;FALSE;FALSE;TRUE;FALSE;FALSE;7;Action-Adventure;N;2018;10
Madden NFL 19;TRUE;TRUE;FALSE;TRUE;FALSE;8.9;Sports;N;2018;8
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure;FALSE;FALSE;TRUE;FALSE;FALSE;8;Action-RPG;N;2018;6
Mario Tennis Aces;FALSE;FALSE;TRUE;FALSE;FALSE;7.5;Sports;N;2018;6
Marvel Powers United VR;FALSE;FALSE;FALSE;TRUE;FALSE;6.7;Fighting;N;2018;7
Marvel's Spider-Man;TRUE;FALSE;FALSE;FALSE;FALSE;8.7;Action-Adventure;N;2018;9
Marvel's Spider-Man - Silver Lining DLC;TRUE;FALSE;FALSE;FALSE;FALSE;8;Action-Adventure;N;2018;12
Marvel's Spider-Man - The Heist DLC;TRUE;FALSE;FALSE;FALSE;FALSE;7.8;Action-Adventure;N;2018;10
Marvel's Spider-Man - Turf Wars DLC;TRUE;FALSE;FALSE;FALSE;FALSE;7;Action-Adventure;N;2018;11
Mega Man 11;TRUE;TRUE;TRUE;TRUE;FALSE;7.5;Platformer;N;2018;10
Mega Man X Legacy Collection 1;TRUE;TRUE;TRUE;TRUE;FALSE;9;Action;Y;2018;7
Mega Man X Legacy Collection 2;TRUE;TRUE;TRUE;TRUE;FALSE;6;Action;N;2018;7
Metal Gear Survive;TRUE;TRUE;FALSE;TRUE;FALSE;6.5;Survival;N;2018;2
MLB The Show 18;TRUE;FALSE;FALSE;FALSE;FALSE;8.5;Sports;N;2018;3
Monster Hunter Generations Ultimate;FALSE;FALSE;TRUE;FALSE;FALSE;8.3;Action-RPG;N;2018;8
Monster Hunter: World;TRUE;TRUE;FALSE;TRUE;FALSE;9.5;Action-RPG;Y;2018;1
Moss;TRUE;FALSE;FALSE;TRUE;FALSE;8.4;Adventure;N;2018;2
Mutant Year Zero: Road to Eden;TRUE;TRUE;FALSE;TRUE;FALSE;7.9;RPG;N;2018;12
My Hero One's Justice;TRUE;TRUE;TRUE;TRUE;FALSE;7;Fighting;N;2018;10
NBA 2K Playgrounds 2;TRUE;TRUE;TRUE;TRUE;FALSE;8;Sports;N;2018;10
NBA 2K19;TRUE;TRUE;TRUE;TRUE;FALSE;8.5;Sports;N;2018;9
NBA Live 19;TRUE;TRUE;FALSE;FALSE;FALSE;7.9;Sports;N;2018;9
NHL 19;TRUE;TRUE;FALSE;FALSE;FALSE;8.9;Sports;N;2018;9
Ni No Kuni 2: Revenant Kingdom;TRUE;FALSE;FALSE;TRUE;FALSE;7.8;Action-RPG;N;2018;3
No Man's Sky NEXT;TRUE;TRUE;FALSE;TRUE;FALSE;7;Action-Adventure;N;2018;7
Octopath Traveler;FALSE;FALSE;TRUE;FALSE;FALSE;9.3;RPG;Y;2018;7
Onrush;TRUE;TRUE;FALSE;FALSE;FALSE;8.2;Action;N;2018;6
Overcooked 2;TRUE;TRUE;TRUE;TRUE;TRUE;8.5;Simulator;N;2018;8
Overkill's The Walking Dead;TRUE;TRUE;FALSE;TRUE;FALSE;5.3;Shooter;N;2018;11
Paladins: Champions of the Realm;TRUE;TRUE;TRUE;TRUE;FALSE;8.4;Shooter;N;2018;5
Past Cure;TRUE;TRUE;FALSE;TRUE;FALSE;5.8;Shooter;N;2018;3
Pathfinder: Kingmaker;FALSE;FALSE;FALSE;TRUE;FALSE;6.8;RPG;N;2018;10
PES 2019;TRUE;TRUE;FALSE;TRUE;FALSE;8.2;Sports;N;2018;8
Phantom Doctrine;TRUE;TRUE;FALSE;TRUE;FALSE;7.4;Strategy;N;2018;8
